section,word,meaning,part_of_speech,importance,label,proficiency,memo,example_sentence,example_translation,example_explanation
SECTION #2「特徴・明確さ・点」,distinguish,"～を(…と)区別する, 見分ける(from…)",自動詞/他動詞,**,難,,,It is hard to distinguish fact from fiction.,事実とフィクションを見分けるのは難しい。,distinguish A from B「AとBを区別する」。It is hard to do構文。
SECTION #2「特徴・明確さ・点」,define,"～を定義する, 明確にする",他動詞,**,普,,,How do you define success?,あなたは成功をどう定義しますか。,define + 名詞「～を定義する」。SVO構文。疑問文。
SECTION #2「特徴・明確さ・点」,vague,"曖昧な, 漠然とした",形容詞,**,難,,,His answer was rather vague.,彼の答えはかなり曖昧だった。,vague「曖昧な」。SVC構文。ratherは程度を表す副詞。
SECTION #2「特徴・明確さ・点」,obscure,"不明瞭な, ぼやけた； 世に知られていない",形容詞/他動詞,*,難,,,The meaning of the text remains obscure.,その文章の意味は不明瞭なままだ。,remain + 形容詞「～のままである」。SVC構文。
SECTION #2「特徴・明確さ・点」,ambiguous,"曖昧な, どちらともとれる",形容詞,*,難,,,The law is ambiguous on this point.,この点について法律は曖昧だ。,S is ambiguous on ～「Sは～に関して曖昧だ」。SVC構文。
SECTION #2「特徴・明確さ・点」,obvious,明白な,形容詞,**,難,,,It is obvious that he is lying.,彼が嘘をついていることは明白だ。,It is obvious that節「～は明白だ」。形式主語のIt。
SECTION #2「特徴・明確さ・点」,evident,明白な,形容詞,**,普,,[ビジネス用語]エビデンス,It was evident from her expression that she was upset.,彼女が動揺していることは表情から明らかだった。,It is evident from ～ that節「～から…は明らかだ」。形式主語のIt。
SECTION #2「特徴・明確さ・点」,apparent,"見たところの, 明白な",形容詞,**,難,,,The problem became apparent over time.,問題は時間とともに明らかになった。,become apparent「明らかになる」。SVC構文。
SECTION #2「特徴・明確さ・点」,respect,"尊敬, 尊重, (in)点, 事項； ～を尊敬する, 尊重する",名詞/他動詞,**,難,,,We should respect other people's opinions.,我々は他人の意見を尊重すべきだ。,respect + 名詞「～を尊重する」。SVO構文。
SECTION #2「特徴・明確さ・点」,aspect,"(in)側面, 様相, 点",名詞,**,難,,,We need to consider every aspect of the problem.,問題のあらゆる側面を考慮する必要がある。,aspect of ～「～の側面」。SVO構文。
SECTION #2「特徴・明確さ・点」,detail,(in)詳細,名詞/他動詞,**,普,,,She described the event in great detail.,彼女はその出来事を詳細に説明した。,in detail「詳細に」は副詞句。SVO構文。
SECTION #2「特徴・明確さ・点」,precise,正確な,形容詞,**,難,,,Can you give me the precise location?,正確な場所を教えてもらえますか。,precise + 名詞で「正確な～」。SVO構文。疑問文。
SECTION #2「特徴・明確さ・点」,accurate,正確な,形容詞,**,難,,,The report was not entirely accurate.,その報告は完全には正確ではなかった。,accurate「正確な」。SVC構文。
SECTION #3「構造・構成」,structure,"構造, 構成, 骨格",名詞/他動詞,**,普,,,The structure of the building is impressive.,その建物の構造は印象的だ。,the structure of ～「～の構造」。SVC構文。
SECTION #3「構造・構成」,construct,"～を建設する, 組み立てる",他動詞/名詞,**,難,,,They constructed a bridge over the river.,彼らは川に橋を建設した。,construct + 名詞「～を建設する」。SVO構文。
SECTION #3「構造・構成」,destroy,"～を破壊する, 滅ぼす",他動詞,**,易,,,The earthquake destroyed many buildings.,地震が多くの建物を破壊した。,destroy + 名詞「～を破壊する」。SVO構文。
SECTION #3「構造・構成」,architecture,"建築, 建築学",名詞,*,普,,,She studied architecture at university.,彼女は大学で建築学を学んだ。,architecture「建築学」。SVO構文。
SECTION #3「構造・構成」,constitute,"～を構成する, 占める； 設立する",他動詞,**,難,,,Women constitute about half the population.,女性は人口の約半数を構成している。,constitute + 名詞「～を構成する」。SVO構文。
SECTION #3「構造・構成」,institute,"～(法律・制度)を制定する； 協会, 研究所",名詞/他動詞,*,難,,,The government instituted a new policy.,政府は新しい政策を設けた。,institute + 名詞「～を制定する、設ける」。SVO構文。
SECTION #3「構造・構成」,substitute,"～を(…の代わりに)代用する(for…)； 代用品, 代理人",名詞/自動詞/他動詞/形容詞,**,難,,,You can substitute honey for sugar.,砂糖の代わりに蜂蜜を使えます。,substitute A for B「BのかわりにAを用いる」。SVO構文。
SECTION #3「構造・構成」,stable,安定した,形容詞/名詞,**,難,,,The patient's condition is now stable.,患者の容態は現在安定している。,stable「安定した」。SVC構文。
SECTION #3「構造・構成」,establish,"～を設立する, 確立する",他動詞,**,普,,,The company was established in 1990.,その会社は1990年に設立された。,be established「設立される」。受動態。
SECTION #3「構造・構成」,subject,"科目, 主題, 家来, 臣民； 患者, 被験者； (～に)従属している, かかりやすい(to～)",名詞/形容詞/他動詞,**,難,,,The plan is subject to change.,その計画は変更される可能性がある。,be subject to ～「～を受けやすい、～の対象である」。SVC構文。
SECTION #3「構造・構成」,subdue,"～を征服する, 支配する, 抑える",他動詞,*,難,,,The police managed to subdue the suspect.,警察はなんとか容疑者を取り押さえた。,subdue + 名詞「～を制圧する」。SVO構文。
SECTION #3「構造・構成」,submit,"（～に)服従する, 身を任せる(to～)； ～を服従させる, を提出する",自動詞/他動詞,**,難,,,She submitted her report on time.,彼女は時間通りにレポートを提出した。,submit + 名詞「～を提出する」。SVO構文。
SECTION #3「構造・構成」,submission,"服従, 提出",名詞,*,難,,,The deadline for submission is next Friday.,提出期限は来週の金曜日だ。,submission「提出」。SVC構文。
SECTION #3「構造・構成」,fundamental,"根本的な, 基礎的な, 重要な",形容詞/名詞,**,難,,,Education is a fundamental right.,教育は基本的な権利だ。,fundamental + 名詞で「基本的な～」。SVC構文。
SECTION #3「構造・構成」,fund,"資金, 基金",名詞/他動詞,*,難,,,The project is funded by the government.,そのプロジェクトは政府によって資金提供されている。,be funded by ～「～によって資金提供される」。受動態。
SECTION #3「構造・構成」,found,～を設立する,他動詞,*,難,,,The university was founded in 1850.,その大学は1850年に設立された。,be founded「設立される」。受動態。foundは「設立する」の意味。
SECTION #3「構造・構成」,foundation,"基盤, 基礎, 土台",名詞,*,難,,,The foundation of the building is very strong.,その建物の基礎は非常に強固だ。,the foundation of ～「～の基礎」。SVC構文。
SECTION #3「構造・構成」,profound,"深い, 深遠な",形容詞,**,難,,,His words had a profound effect on me.,彼の言葉は私に深い影響を与えた。,profound + 名詞で「深い、深遠な～」。SVO構文。
SECTION #3「構造・構成」,base,土台、基礎,名詞/他動詞/形容詞,**,普,,,The company is based in Tokyo.,その会社は東京に本拠地を置いている。,be based in ～「～に本拠地を置く」。受動態。
SECTION #3「構造・構成」,basis,基礎,名詞,*,普,,,There is no basis for this claim.,この主張には根拠がない。,the basis for ～「～の根拠」。There is構文。
SECTION #3「構造・構成」,ground,"運動場, 地面, 根拠, 理由",名詞/他動詞,**,難,,,He was arrested on the grounds of fraud.,彼は詐欺の理由で逮捕された。,on the grounds of ～「～の理由で」。受動態。
SECTION #3「構造・構成」,superficial,うわべの,形容詞,**,難,,,His knowledge of the subject is superficial.,そのテーマに関する彼の知識は表面的だ。,superficial「表面的な」。SVC構文。
SECTION #3「構造・構成」,shallow,"浅い； 浅はかな, うわべの",形容詞,*,難,,,The river is very shallow here.,ここでは川はとても浅い。,shallow「浅い」。SVC構文。
SECTION #3「構造・構成」,superb,"すばらしい, 見事な",形容詞,*,難,,,The performance was absolutely superb.,その演技は実に素晴らしかった。,superb「素晴らしい」。SVC構文。
SECTION #3「構造・構成」,supervise,"～を監視する, 指揮する",他動詞,*,難,,,She supervises a team of twenty people.,彼女は20人のチームを監督している。,supervise + 名詞「～を監督する」。SVO構文。
SECTION #3「構造・構成」,superstition,迷信,名詞,**,難,,,Many superstitions have no scientific basis.,多くの迷信には科学的根拠がない。,superstition「迷信」。SVO構文。
SECTION #3「構造・構成」,core,"中心, 核心； (果物の)芯",名詞/形容詞,*,普,,,Trust is the core of any relationship.,信頼はあらゆる関係の核心だ。,the core of ～「～の核心」。SVC構文。
SECTION #3「構造・構成」,surface,"表面, 表層",名詞/自動詞,**,普,,,A whale surfaced near the boat.,クジラがボートの近くで水面に浮上した。,surface は自動詞で「浮上する」。SV構文。
SECTION #3「構造・構成」,internal,"内面の, 内側の",形容詞,**,難,,,This is an internal matter of the company.,これは会社の内部問題だ。,internal + 名詞で「内部の～」。SVC構文。
SECTION #3「構造・構成」,external,外側の,形容詞,**,難,,,We need to consider external factors as well.,外部要因も考慮する必要がある。,external + 名詞で「外部の～」。SVO構文。
SECTION #3「構造・構成」,concentrate,(～に)集中する(on～)； ～を(…に)集中させる(on…),自動詞/他動詞,**,難,,,I can't concentrate on my work.,仕事に集中できない。,concentrate on ～「～に集中する」。SV構文（前置詞句を伴う）。
SECTION #3「構造・構成」,focus,"(～に)集中する, 重点を置く(on～)； 焦点",自動詞/他動詞,**,普,,,Let's focus on the main issue.,主要な問題に焦点を当てよう。,focus on ～「～に焦点を当てる」。SV構文（前置詞句を伴う）。
SECTION #3「構造・構成」,compose,～を構成する； 作曲・作文する,他動詞,**,難,,,The committee is composed of ten members.,委員会は10人のメンバーで構成されている。,be composed of ～「～で構成されている」。受動態。
SECTION #3「構造・構成」,consist,"(～から)成る(of～), (～の中に)ある, 存在する(in～)",自動詞,**,難,,,The team consists of five members.,そのチームは5人のメンバーで構成されている。,consist of ～「～から成る」。自動詞。SV構文（前置詞句を伴う）。
SECTION #3「構造・構成」,organize,～を組織する,他動詞,**,普,,,She organized a charity event.,彼女は慈善イベントを企画した。,organize + 名詞「～を企画する」。SVO構文。
SECTION #3「構造・構成」,element,"要素, 元素",名詞,**,普,,,Patience is a key element of success.,忍耐は成功の重要な要素だ。,element of ～「～の要素」。SVC構文。
SECTION #3「構造・構成」,component,"構成要素, 部分",名詞/形容詞,*,難,,,Each component plays a vital role.,各部品が重要な役割を果たしている。,component「構成要素、部品」。SVO構文。
SECTION #3「構造・構成」,complex,"複雑な, 複合の",形容詞/名詞,**,難,,,The problem is more complex than we thought.,問題は我々が思っていたよりも複雑だ。,complex「複雑な」。比較級構文。SVC構文。
SECTION #3「構造・構成」,complicated,複雑な,形容詞,**,易,,,The instructions were too complicated to follow.,その指示は複雑すぎて従えなかった。,too ～ to do「～すぎて…できない」。SVC構文。
SECTION #4「動詞をイメージする」,reveal,"～を明らかにする, 暴露する",他動詞,**,難,,,The investigation revealed the truth.,調査が真実を明らかにした。,reveal + 名詞「～を明らかにする」。SVO構文。
SECTION #4「動詞をイメージする」,conceal,～を隠す,他動詞,**,普,,(化粧品の)コンシーラー,He tried to conceal his identity.,彼は自分の正体を隠そうとした。,conceal + 名詞「～を隠す」。SVO構文。try to do。
SECTION #4「動詞をイメージする」,expose,～をさらす,他動詞,**,難,,,The journalist exposed the corruption.,そのジャーナリストは汚職を暴露した。,expose + 名詞「～を暴露する」。SVO構文。
SECTION #4「動詞をイメージする」,impose,"～を(…に)課す, 押しつける(on[upon]…)",自動詞/他動詞,**,難,,,The government imposed a new tax on imports.,政府は輸入品に新しい税を課した。,impose A on B「AをBに課す」。SVO構文。
SECTION #4「動詞をイメージする」,divide,～を分割する,自動詞/他動詞/名詞,**,普,,ディビジョン,The river divides the city into two parts.,川がその都市を二つに分けている。,divide A into B「AをBに分ける」。SVO構文。
SECTION #4「動詞をイメージする」,diffuse,"～をまき散らす, 分散する； 拡散する",自動詞/他動詞/形容詞,*,普,,ディフューザー,The scent diffused throughout the room.,香りが部屋中に広がった。,diffuse「広がる」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,scatter,～をまき散らす,自動詞/他動詞,*,普,,,The wind scattered the leaves.,風が葉を散らした。,scatter + 名詞「～を散らす」。SVO構文。
SECTION #4「動詞をイメージする」,spread,"広がる, 普及する",自動詞/他動詞/名詞,**,普,,,The news spread quickly.,ニュースは急速に広まった。,spread「広まる」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,bend,～を曲げる,自動詞/他動詞/名詞,**,難,,,She bent down to pick up the coin.,彼女はコインを拾うためにかがんだ。,bend down「かがむ」。自動詞。to doは目的を表す不定詞の副詞的用法。
SECTION #4「動詞をイメージする」,incline,"～を傾ける, (…したい)気持ちにさせる(to do)",自動詞/他動詞/名詞,**,難,,⇔decline 衰退、～を断る,I am inclined to agree with you.,あなたに同意する傾向がある。,be inclined to do「～する傾向がある」。SVC構文。
SECTION #4「動詞をイメージする」,lean,"(～に)寄りかかる, もたれる(on[against]～)",自動詞/形容詞,**,難,,,He leaned against the wall.,彼は壁に寄りかかった。,lean against ～「～に寄りかかる」。自動詞。SV構文（前置詞句を伴う）。
SECTION #4「動詞をイメージする」,erect,"～を直立させる, 建てる； 直立した",他動詞/形容詞,*,普,,ワールドダウンタウン「ビンビン エレクト」,They erected a monument in the park.,彼らは公園に記念碑を建てた。,erect + 名詞「～を建てる」。SVO構文。
SECTION #4「動詞をイメージする」,emit,"～を放出する, 排出する",他動詞,**,難,,,The factory emits a large amount of carbon dioxide.,その工場は大量の二酸化炭素を排出している。,emit + 名詞「～を排出する」。SVO構文。
SECTION #4「動詞をイメージする」,absorb,～を吸収する,他動詞,**,難,,,The sponge absorbs water quickly.,スポンジは素早く水を吸収する。,absorb + 名詞「～を吸収する」。SVO構文。
SECTION #4「動詞をイメージする」,attract,"～を惹(引)き付ける, 魅了する",他動詞,**,難,,,The museum attracts thousands of visitors every year.,その博物館は毎年何千人もの来場者を引きつける。,attract + 名詞「～を引きつける」。SVO構文。
SECTION #4「動詞をイメージする」,extract,"～を抜き出す, 抽出する",他動詞/名詞,*,難,,,They extracted oil from the ground.,彼らは地中から石油を採掘した。,extract A from B「AをBから取り出す」。SVO構文。
SECTION #4「動詞をイメージする」,aim,"目標, 目的； (～を)狙う, 目標とする(at～)",自動詞/他動詞/名詞,**,普,,,We aim to finish the project by March.,私たちは3月までにプロジェクトを終えることを目指している。,aim to do「～することを目指す」。SV構文（不定詞を伴う）。
SECTION #4「動詞をイメージする」,penetrate,"～を貫通する, ～に浸透する； 貫通する（through～）",自動詞/他動詞,**,普,,,The bullet penetrated the wall.,弾丸が壁を貫通した。,penetrate + 名詞「～を貫通する」。SVO構文。
SECTION #4「動詞をイメージする」,thrust,"～を(ぐいっと)押し付ける, 突っ込む, 突き刺す",自動詞/他動詞/名詞,*,難,,,He thrust the letter into my hand.,彼は手紙を私の手に押しつけた。,thrust A into B「AをBに突きつける」。SVO構文。
SECTION #4「動詞をイメージする」,insert,～を挿入する,他動詞,*,難,,,Please insert your card into the machine.,カードを機械に挿入してください。,insert A into B「AをBに挿入する」。命令文。SVO構文。
SECTION #4「動詞をイメージする」,grasp,"～を掴む, 握る； 理解する",自動詞/他動詞/名詞,**,難,,,She grasped the rope tightly.,彼女はロープをしっかりとつかんだ。,grasp + 名詞「～をつかむ」。SVO構文。
SECTION #4「動詞をイメージする」,grab,～を掴む,自動詞/他動詞/名詞,**,難,,,He grabbed my arm suddenly.,彼は突然私の腕をつかんだ。,grab + 名詞「～をつかむ」。SVO構文。
SECTION #4「動詞をイメージする」,seize,"～を掴む, (感情などが)を襲う； 押収する",他動詞,**,難,,,The police seized a large quantity of drugs.,警察は大量の薬物を押収した。,seize + 名詞「～を押収する、つかむ」。SVO構文。
SECTION #4「動詞をイメージする」,drag,～を引きずる,自動詞/他動詞/名詞,**,普,,,He dragged the heavy box across the floor.,彼は重い箱を床の上で引きずった。,drag + 名詞「～を引きずる」。SVO構文。
SECTION #4「動詞をイメージする」,cling,"（～に)しがみつく, 固執する(to～)",自動詞,**,難,,,The child clung to her mother.,その子供は母親にしがみついた。,cling to ～「～にしがみつく」。自動詞。SV構文（前置詞句を伴う）。
SECTION #4「動詞をイメージする」,stick,"棒； (～に)くっつく, 固執する(to～)",自動詞/他動詞/名詞,**,普,,,The stamp won't stick to the envelope.,切手が封筒に貼りつかない。,stick to ～「～にくっつく」。自動詞。SV構文（前置詞句を伴う）。
SECTION #4「動詞をイメージする」,attach,～をくっつける； 愛着を持たせる,自動詞/他動詞,**,難,,,Please attach a photo to the application form.,申込書に写真を添付してください。,attach A to B「AをBに添付する」。命令文。SVO構文。
SECTION #4「動詞をイメージする」,imitate,～を真似る,他動詞,**,普,,,Children often imitate their parents' behavior.,子供はしばしば親の行動を真似る。,imitate + 名詞「～を真似る」。SVO構文。
SECTION #4「動詞をイメージする」,fold,～を折り畳む,自動詞/他動詞/名詞,**,難,,,She folded the letter and put it in the envelope.,彼女は手紙を折って封筒に入れた。,fold + 名詞「～を折りたたむ」。SVO構文。
SECTION #4「動詞をイメージする」,tear,～を引き裂く,自動詞/他動詞/名詞,**,難,,"涙のtearとは発音が異なる
涙: ティアー
引き裂く: テア",She accidentally tore the page.,彼女はうっかりそのページを破いた。,tear + 名詞「～を破る」。SVO構文。
SECTION #4「動詞をイメージする」,mold,"～をかたどる, 形成する",名詞/他動詞,*,普,,モデレート,Education molds the character of young people.,教育は若者の人格を形成する。,mold + 名詞「～を形成する」。SVO構文。
SECTION #4「動詞をイメージする」,distort,～を歪める,他動詞,*,普,,ギター「ディストーション」,The media distorted the facts.,メディアは事実を歪めた。,distort + 名詞「～を歪める」。SVO構文。
SECTION #4「動詞をイメージする」,expand,～を拡大する； 拡大する； 膨張する,自動詞/他動詞,**,難,,,The company plans to expand its business overseas.,その会社は海外に事業を拡大する予定だ。,expand + 名詞「～を拡大する」。SVO構文。
SECTION #4「動詞をイメージする」,shrink,縮む,自動詞/他動詞,*,易,,,The sweater shrank after washing.,セーターは洗濯後に縮んだ。,shrink「縮む」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,swell,膨らむ,自動詞/名詞,*,難,,,His ankle swelled up after the injury.,けがの後、彼の足首が腫れた。,swell (up)「腫れる、膨らむ」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,assemble,"～を集める, 組み立てる",自動詞/他動詞,*,難,,,The students assembled in the hall.,生徒たちはホールに集まった。,assemble「集まる」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,collect,～を集める； 徴収する,自動詞/他動詞,**,普,,,She collects stamps as a hobby.,彼女は趣味で切手を収集している。,collect + 名詞「～を収集する」。SVO構文。
SECTION #4「動詞をイメージする」,cram,～を詰め込む,自動詞/他動詞,*,難,,,He crammed all his clothes into a suitcase.,彼はすべての服をスーツケースに詰め込んだ。,cram A into B「AをBに詰め込む」。SVO構文。
SECTION #4「動詞をイメージする」,rotate,～を回転する； 回転する,自動詞/他動詞,*,易,,,The Earth rotates on its axis.,地球はその軸を中心に自転する。,rotate on ～「～を軸に回転する」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,twist,～をひねる,自動詞/他動詞/名詞,*,普,,,She twisted the cap off the bottle.,彼女はボトルのキャップをひねって開けた。,twist + 名詞「～をひねる」。SVO構文。
SECTION #4「動詞をイメージする」,upset,"～をひっくり返す, 動揺させる, 怒らせる； 動揺した, 怒った",他動詞/形容詞/名詞,**,難,,,The bad news upset her greatly.,悪いニュースが彼女をひどく動揺させた。,upset + 名詞「～を動揺させる」。SVO構文。
SECTION #4「動詞をイメージする」,stir,～をかき回す； 騒乱,自動詞/他動詞/名詞,*,難,,,She stirred the soup with a spoon.,彼女はスプーンでスープをかき混ぜた。,stir + 名詞「～をかき混ぜる」。SVO構文。
SECTION #4「動詞をイメージする」,explode,爆発する,自動詞/他動詞,**,普,,,The bomb exploded near the building.,爆弾が建物の近くで爆発した。,explode「爆発する」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,burst,爆発する,自動詞/名詞,**,普,,,The balloon burst with a loud bang.,風船が大きな音を立てて破裂した。,burst「破裂する」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,melt,溶ける； ～を溶かす,自動詞/他動詞,**,難,,,The snow melted in the warm sun.,雪は暖かい日差しの中で溶けた。,melt「溶ける」。自動詞。SV構文。
SECTION #4「動詞をイメージする」,leak,漏れる； ～を漏らす,自動詞/名詞,**,易,,,Water was leaking from the pipe.,パイプから水が漏れていた。,leak from ～「～から漏れる」。自動詞。過去進行形。
SECTION #5「制約・強制・禁止」,string,"ひも, 糸",名詞/他動詞,**,難,,,She wore a string of pearls around her neck.,彼女は首に真珠の首飾りをしていた。,a string of ～「一連の～」。SVO構文。
SECTION #5「制約・強制・禁止」,restrict,～を(…に)制限する(to…),他動詞,**,難,,,The law restricts the sale of alcohol to minors.,法律は未成年者への酒類の販売を制限している。,restrict A to B「AをBに制限する」。SVO構文。
SECTION #5「制約・強制・禁止」,strict,厳しい； 厳密な,形容詞,**,難,,,The school has strict rules about uniforms.,その学校は制服に関する厳しい規則がある。,strict + 名詞で「厳しい～」。SVO構文。
SECTION #5「制約・強制・禁止」,distress,"苦悩, 貧困",名詞/他動詞,*,難,,,The news caused great distress to the family.,そのニュースは家族に大きな苦痛をもたらした。,cause distress to ～「～に苦痛を与える」。SVO構文。
